Index,Div,Date,Time,HomeTeam,AwayTeam,HomeGoals,AwayGoals,Result,HalfTimeHG,HalfTimeAG,HalfTimeResult,HomeShots,AwayShots,HomeShotsOnTarget,AwayShotsOnTarget,HomeFouls,AwayFouls,HomeCorners,AwayCorners,HomeYellows,AwayYellows,HomeReds,AwayReds,HomeShotsOnTarget_Discrete,AwayShotsOnTarget_Discrete,HomeShots_Discrete,AwayShots_Discrete,HomeFouls_Discrete,AwayFouls_Discrete,Result_Discrete,Result_Encoded
29,SP1,3/1/2024,Night,Celta,Almeria,1,0,H,0.0,0.0,D,15.0,3.0,6.0,0.0,8.0,14.0,7.0,0.0,1.0,2.0,0.0,1.0,MediumHomeShotsOnTarget,LowAwayShotsOnTarget,MediumHomeShots,LowAwayShots,LowHomeFouls,MediumAwayFouls,1,Win <2
30,SP1,2/26/2024,Night,Girona,Vallecano,3,0,H,0.0,0.0,D,14.0,7.0,8.0,1.0,13.0,16.0,2.0,2.0,3.0,5.0,0.0,1.0,HighHomeShotsOnTarget,LowAwayShotsOnTarget,MediumHomeShots,LowAwayShots,LowHomeFouls,MediumAwayFouls,1,Win >2
31,SP1,2/25/2024,Afternoon,Cadiz,Celta,2,2,D,0.0,1.0,A,19.0,7.0,6.0,3.0,13.0,20.0,9.0,1.0,2.0,3.0,0.0,0.0,MediumHomeShotsOnTarget,LowAwayShotsOnTarget,HighHomeShots,LowAwayShots,LowHomeFouls,HighAwayFouls,0,Draw
32,SP1,2/25/2024,Afternoon,Betis,Ath Bilbao,3,1,H,2.0,1.0,H,13.0,3.0,5.0,1.0,14.0,12.0,5.0,3.0,1.0,6.0,0.0,1.0,MediumHomeShotsOnTarget,LowAwayShotsOnTarget,MediumHomeShots,LowAwayShots,MediumHomeFouls,LowAwayFouls,1,Win <2
33,SP1,2/25/2024,Evening,Las Palmas,Osasuna,1,1,D,0.0,0.0,D,9.0,6.0,3.0,2.0,6.0,15.0,6.0,7.0,2.0,1.0,0.0,0.0,LowHomeShotsOnTarget,LowAwayShotsOnTarget,LowHomeShots,LowAwayShots,LowHomeFouls,MediumAwayFouls,0,Draw
34,SP1,2/25/2024,Night,Real Madrid,Sevilla,1,0,H,0.0,0.0,D,16.0,4.0,6.0,1.0,10.0,13.0,7.0,2.0,1.0,3.0,0.0,0.0,MediumHomeShotsOnTarget,LowAwayShotsOnTarget,HighHomeShots,LowAwayShots,LowHomeFouls,MediumAwayFouls,1,Win <2
35,SP1,2/24/2024,Afternoon,Barcelona,Getafe,4,0,H,1.0,0.0,H,17.0,10.0,9.0,4.0,12.0,18.0,5.0,8.0,1.0,4.0,0.0,0.0,HighHomeShotsOnTarget,MediumAwayShotsOnTarget,HighHomeShots,MediumAwayShots,LowHomeFouls,HighAwayFouls,1,Win >2
36,SP1,2/24/2024,Evening,Alaves,Mallorca,1,1,D,0.0,0.0,D,9.0,15.0,1.0,8.0,7.0,15.0,3.0,3.0,0.0,2.0,0.0,0.0,LowHomeShotsOnTarget,HighAwayShotsOnTarget,LowHomeShots,HighAwayShots,LowHomeFouls,MediumAwayFouls,0,Draw
37,SP1,2/24/2024,Night,Almeria,Ath Madrid,2,2,D,1.0,1.0,D,9.0,18.0,4.0,9.0,13.0,12.0,2.0,7.0,1.0,1.0,0.0,0.0,LowHomeShotsOnTarget,HighAwayShotsOnTarget,LowHomeShots,HighAwayShots,LowHomeFouls,LowAwayFouls,0,Draw
38,SP1,2/23/2024,Night,Sociedad,Villarreal,1,3,A,0.0,1.0,A,21.0,6.0,8.0,4.0,15.0,14.0,13.0,2.0,3.0,4.0,0.0,0.0,HighHomeShotsOnTarget,MediumAwayShotsOnTarget,HighHomeShots,LowAwayShots,MediumHomeFouls,MediumAwayFouls,-1,Loss
39,SP1,2/19/2024,Night,Ath Bilbao,Girona,3,2,H,1.0,0.0,H,14.0,12.0,7.0,6.0,16.0,13.0,3.0,4.0,1.0,2.0,0.0,0.0,HighHomeShotsOnTarget,HighAwayShotsOnTarget,MediumHomeShots,MediumAwayShots,MediumHomeFouls,MediumAwayFouls,1,Win <2
40,SP1,2/18/2024,Afternoon,Vallecano,Real Madrid,1,1,D,1.0,1.0,D,8.0,11.0,3.0,4.0,17.0,7.0,4.0,10.0,4.0,3.0,0.0,1.0,LowHomeShotsOnTarget,MediumAwayShotsOnTarget,LowHomeShots,MediumAwayShots,MediumHomeFouls,LowAwayFouls,0,Draw
41,SP1,2/18/2024,Afternoon,Granada,Almeria,1,1,D,0.0,1.0,A,19.0,13.0,7.0,3.0,13.0,22.0,10.0,4.0,2.0,3.0,0.0,0.0,HighHomeShotsOnTarget,LowAwayShotsOnTarget,HighHomeShots,HighAwayShots,LowHomeFouls,HighAwayFouls,0,Draw
42,SP1,2/18/2024,Evening,Mallorca,Sociedad,1,2,A,1.0,1.0,D,4.0,19.0,1.0,5.0,12.0,18.0,3.0,9.0,7.0,5.0,1.0,0.0,LowHomeShotsOnTarget,HighAwayShotsOnTarget,LowHomeShots,HighAwayShots,LowHomeFouls,HighAwayFouls,-1,Loss
43,SP1,2/18/2024,Night,Betis,Alaves,0,0,D,0.0,0.0,D,13.0,13.0,2.0,4.0,13.0,9.0,6.0,8.0,5.0,2.0,0.0,0.0,LowHomeShotsOnTarget,MediumAwayShotsOnTarget,MediumHomeShots,HighAwayShots,LowHomeFouls,LowAwayFouls,0,Draw
44,SP1,2/17/2024,Afternoon,Ath Madrid,Las Palmas,5,0,H,2.0,0.0,H,13.0,11.0,7.0,2.0,19.0,9.0,3.0,5.0,2.0,2.0,0.0,0.0,HighHomeShotsOnTarget,LowAwayShotsOnTarget,MediumHomeShots,MediumAwayShots,HighHomeFouls,LowAwayFouls,1,Win >2
45,SP1,2/17/2024,Afternoon,Osasuna,Cadiz,2,0,H,0.0,0.0,D,11.0,5.0,4.0,1.0,20.0,12.0,5.0,4.0,4.0,2.0,0.0,0.0,LowHomeShotsOnTarget,LowAwayShotsOnTarget,LowHomeShots,LowAwayShots,HighHomeFouls,LowAwayFouls,1,Win <2
46,SP1,2/17/2024,Evening,Celta,Barcelona,1,2,A,0.0,1.0,A,13.0,14.0,4.0,4.0,11.0,13.0,2.0,5.0,2.0,4.0,0.0,0.0,LowHomeShotsOnTarget,MediumAwayShotsOnTarget,MediumHomeShots,HighAwayShots,LowHomeFouls,MediumAwayFouls,-1,Loss
47,SP1,2/17/2024,Night,Valencia,Sevilla,0,0,D,0.0,0.0,D,14.0,1.0,4.0,1.0,5.0,8.0,7.0,2.0,0.0,1.0,0.0,0.0,LowHomeShotsOnTarget,LowAwayShotsOnTarget,MediumHomeShots,LowAwayShots,LowHomeFouls,LowAwayFouls,0,Draw
48,SP1,2/16/2024,Night,Villarreal,Getafe,1,1,D,0.0,1.0,A,20.0,11.0,7.0,2.0,13.0,13.0,8.0,3.0,0.0,1.0,0.0,0.0,HighHomeShotsOnTarget,LowAwayShotsOnTarget,HighHomeShots,MediumAwayShots,LowHomeFouls,MediumAwayFouls,0,Draw
49,SP1,2/12/2024,Night,Almeria,Ath Bilbao,0,0,D,0.0,0.0,D,10.0,12.0,4.0,4.0,17.0,15.0,4.0,10.0,4.0,1.0,1.0,0.0,LowHomeShotsOnTarget,MediumAwayShotsOnTarget,LowHomeShots,MediumAwayShots,MediumHomeFouls,MediumAwayFouls,0,Draw
50,SP1,2/11/2024,Afternoon,Getafe,Celta,3,2,H,2.0,0.0,H,11.0,9.0,4.0,4.0,16.0,13.0,0.0,4.0,1.0,2.0,0.0,0.0,LowHomeShotsOnTarget,MediumAwayShotsOnTarget,LowHomeShots,LowAwayShots,MediumHomeFouls,MediumAwayFouls,1,Win <2
51,SP1,2/11/2024,Afternoon,Mallorca,Vallecano,2,1,H,0.0,0.0,D,8.0,11.0,5.0,4.0,17.0,11.0,5.0,1.0,4.0,0.0,0.0,0.0,MediumHomeShotsOnTarget,MediumAwayShotsOnTarget,LowHomeShots,MediumAwayShots,MediumHomeFouls,LowAwayFouls,1,Win <2
52,SP1,2/11/2024,Evening,Sevilla,Ath Madrid,1,0,H,1.0,0.0,H,10.0,16.0,6.0,5.0,8.0,5.0,2.0,7.0,2.0,1.0,0.0,0.0,MediumHomeShotsOnTarget,HighAwayShotsOnTarget,LowHomeShots,HighAwayShots,LowHomeFouls,LowAwayFouls,1,Win <2
53,SP1,2/11/2024,Night,Barcelona,Granada,3,3,D,1.0,1.0,D,11.0,11.0,6.0,5.0,13.0,9.0,6.0,2.0,1.0,2.0,0.0,0.0,MediumHomeShotsOnTarget,HighAwayShotsOnTarget,LowHomeShots,MediumAwayShots,LowHomeFouls,LowAwayFouls,0,Draw
54,SP1,2/10/2024,Afternoon,Alaves,Villarreal,1,1,D,1.0,1.0,D,17.0,12.0,4.0,4.0,7.0,11.0,10.0,9.0,0.0,2.0,0.0,0.0,LowHomeShotsOnTarget,MediumAwayShotsOnTarget,HighHomeShots,MediumAwayShots,LowHomeFouls,LowAwayFouls,0,Draw
55,SP1,2/10/2024,Afternoon,Sociedad,Osasuna,0,1,A,0.0,0.0,D,21.0,9.0,3.0,2.0,11.0,11.0,7.0,4.0,0.0,0.0,0.0,0.0,LowHomeShotsOnTarget,LowAwayShotsOnTarget,HighHomeShots,LowAwayShots,LowHomeFouls,LowAwayFouls,-1,Loss
56,SP1,2/10/2024,Evening,Real Madrid,Girona,4,0,H,2.0,0.0,H,16.0,5.0,6.0,0.0,9.0,12.0,0.0,2.0,1.0,2.0,0.0,0.0,MediumHomeShotsOnTarget,LowAwayShotsOnTarget,HighHomeShots,LowAwayShots,LowHomeFouls,LowAwayFouls,1,Win >2
57,SP1,2/10/2024,Night,Las Palmas,Valencia,2,0,H,0.0,0.0,D,8.0,7.0,3.0,1.0,9.0,9.0,5.0,0.0,2.0,0.0,0.0,0.0,LowHomeShotsOnTarget,LowAwayShotsOnTarget,LowHomeShots,LowAwayShots,LowHomeFouls,LowAwayFouls,1,Win <2
58,SP1,2/9/2024,Night,Cadiz,Betis,0,2,A,0.0,1.0,A,14.0,13.0,5.0,5.0,12.0,10.0,5.0,3.0,1.0,1.0,0.0,0.0,MediumHomeShotsOnTarget,HighAwayShotsOnTarget,MediumHomeShots,HighAwayShots,LowHomeFouls,LowAwayFouls,-1,Loss
59,SP1,2/5/2024,Night,Vallecano,Sevilla,1,2,A,1.0,2.0,A,22.0,10.0,5.0,6.0,8.0,10.0,6.0,0.0,2.0,2.0,0.0,0.0,MediumHomeShotsOnTarget,HighAwayShotsOnTarget,HighHomeShots,MediumAwayShots,LowHomeFouls,LowAwayFouls,-1,Loss
60,SP1,2/4/2024,Afternoon,Villarreal,Cadiz,0,0,D,0.0,0.0,D,19.0,8.0,4.0,2.0,14.0,14.0,13.0,2.0,3.0,1.0,0.0,0.0,LowHomeShotsOnTarget,LowAwayShotsOnTarget,HighHomeShots,LowAwayShots,MediumHomeFouls,MediumAwayFouls,0,Draw
61,SP1,2/4/2024,Afternoon,Osasuna,Celta,0,3,A,0.0,2.0,A,18.0,6.0,1.0,5.0,10.0,10.0,9.0,1.0,2.0,0.0,0.0,0.0,LowHomeShotsOnTarget,HighAwayShotsOnTarget,HighHomeShots,LowAwayShots,LowHomeFouls,LowAwayFouls,-1,Loss
62,SP1,2/4/2024,Evening,Betis,Getafe,1,1,D,1.0,1.0,D,9.0,11.0,3.0,2.0,9.0,19.0,3.0,5.0,7.0,4.0,0.0,0.0,LowHomeShotsOnTarget,LowAwayShotsOnTarget,LowHomeShots,MediumAwayShots,LowHomeFouls,HighAwayFouls,0,Draw
63,SP1,2/4/2024,Night,Real Madrid,Ath Madrid,1,1,D,1.0,0.0,H,17.0,10.0,4.0,5.0,6.0,15.0,2.0,8.0,0.0,5.0,0.0,0.0,LowHomeShotsOnTarget,HighAwayShotsOnTarget,HighHomeShots,MediumAwayShots,LowHomeFouls,MediumAwayFouls,0,Draw
64,SP1,2/3/2024,Afternoon,Valencia,Almeria,2,1,H,2.0,0.0,H,7.0,15.0,2.0,5.0,17.0,16.0,0.0,6.0,4.0,5.0,0.0,0.0,LowHomeShotsOnTarget,HighAwayShotsOnTarget,LowHomeShots,HighAwayShots,MediumHomeFouls,MediumAwayFouls,1,Win <2
65,SP1,2/3/2024,Afternoon,Granada,Las Palmas,1,1,D,1.0,0.0,H,3.0,16.0,1.0,6.0,6.0,16.0,2.0,9.0,4.0,3.0,1.0,1.0,LowHomeShotsOnTarget,HighAwayShotsOnTarget,LowHomeShots,HighAwayShots,LowHomeFouls,MediumAwayFouls,0,Draw
66,SP1,2/3/2024,Evening,Alaves,Barcelona,1,3,A,0.0,1.0,A,13.0,8.0,2.0,5.0,15.0,10.0,14.0,5.0,2.0,2.0,0.0,1.0,LowHomeShotsOnTarget,HighAwayShotsOnTarget,MediumHomeShots,LowAwayShots,MediumHomeFouls,LowAwayFouls,-1,Loss
67,SP1,2/3/2024,Night,Girona,Sociedad,0,0,D,0.0,0.0,D,11.0,11.0,3.0,2.0,8.0,19.0,3.0,4.0,2.0,3.0,0.0,0.0,LowHomeShotsOnTarget,LowAwayShotsOnTarget,LowHomeShots,MediumAwayShots,LowHomeFouls,HighAwayFouls,0,Draw
68,SP1,2/2/2024,Night,Ath Bilbao,Mallorca,4,0,H,2.0,0.0,H,13.0,6.0,6.0,2.0,17.0,15.0,6.0,2.0,0.0,1.0,0.0,0.0,MediumHomeShotsOnTarget,LowAwayShotsOnTarget,MediumHomeShots,LowAwayShots,MediumHomeFouls,MediumAwayFouls,1,Win >2
69,SP1,2/1/2024,Night,Getafe,Real Madrid,0,2,A,0.0,1.0,A,10.0,16.0,2.0,9.0,16.0,5.0,2.0,6.0,1.0,2.0,0.0,0.0,LowHomeShotsOnTarget,HighAwayShotsOnTarget,LowHomeShots,HighAwayShots,MediumHomeFouls,LowAwayFouls,-1,Loss
70,SP1,1/31/2024,Evening,Barcelona,Osasuna,1,0,H,0.0,0.0,D,16.0,9.0,4.0,1.0,9.0,12.0,6.0,6.0,1.0,2.0,0.0,1.0,LowHomeShotsOnTarget,LowAwayShotsOnTarget,HighHomeShots,LowAwayShots,LowHomeFouls,LowAwayFouls,1,Win <2
71,SP1,1/31/2024,Night,Ath Madrid,Vallecano,2,1,H,1.0,1.0,D,8.0,10.0,3.0,2.0,11.0,13.0,5.0,6.0,0.0,3.0,0.0,0.0,LowHomeShotsOnTarget,LowAwayShotsOnTarget,LowHomeShots,MediumAwayShots,LowHomeFouls,MediumAwayFouls,1,Win <2
72,SP1,1/29/2024,Night,Getafe,Granada,2,0,H,2.0,0.0,H,7.0,16.0,4.0,3.0,17.0,11.0,4.0,3.0,2.0,1.0,0.0,0.0,LowHomeShotsOnTarget,LowAwayShotsOnTarget,LowHomeShots,HighAwayShots,MediumHomeFouls,LowAwayFouls,1,Win <2
73,SP1,1/28/2024,Afternoon,Celta,Girona,0,1,A,0.0,1.0,A,10.0,15.0,5.0,6.0,13.0,11.0,5.0,7.0,1.0,1.0,0.0,0.0,MediumHomeShotsOnTarget,HighAwayShotsOnTarget,LowHomeShots,HighAwayShots,LowHomeFouls,LowAwayFouls,-1,Loss
74,SP1,1/28/2024,Afternoon,Cadiz,Ath Bilbao,0,0,D,0.0,0.0,D,9.0,8.0,2.0,0.0,13.0,14.0,6.0,8.0,4.0,2.0,0.0,0.0,LowHomeShotsOnTarget,LowAwayShotsOnTarget,LowHomeShots,LowAwayShots,LowHomeFouls,MediumAwayFouls,0,Draw
75,SP1,1/28/2024,Evening,Sevilla,Osasuna,1,1,D,1.0,0.0,H,10.0,11.0,5.0,4.0,19.0,13.0,2.0,4.0,3.0,0.0,1.0,0.0,MediumHomeShotsOnTarget,MediumAwayShotsOnTarget,LowHomeShots,MediumAwayShots,HighHomeFouls,MediumAwayFouls,0,Draw
76,SP1,1/28/2024,Night,Ath Madrid,Valencia,2,0,H,1.0,0.0,H,12.0,10.0,8.0,3.0,9.0,9.0,3.0,6.0,2.0,0.0,0.0,0.0,HighHomeShotsOnTarget,LowAwayShotsOnTarget,MediumHomeShots,MediumAwayShots,LowHomeFouls,LowAwayFouls,1,Win <2
77,SP1,1/27/2024,Afternoon,Sociedad,Vallecano,0,0,D,0.0,0.0,D,6.0,5.0,3.0,0.0,16.0,14.0,2.0,2.0,2.0,4.0,0.0,0.0,LowHomeShotsOnTarget,LowAwayShotsOnTarget,LowHomeShots,LowAwayShots,MediumHomeFouls,MediumAwayFouls,0,Draw
78,SP1,1/27/2024,Afternoon,Las Palmas,Real Madrid,1,2,A,0.0,0.0,D,7.0,13.0,2.0,5.0,17.0,14.0,1.0,6.0,3.0,3.0,0.0,0.0,LowHomeShotsOnTarget,HighAwayShotsOnTarget,LowHomeShots,HighAwayShots,MediumHomeFouls,MediumAwayFouls,-1,Loss
79,SP1,1/27/2024,Evening,Barcelona,Villarreal,3,5,A,0.0,1.0,A,22.0,9.0,10.0,6.0,8.0,13.0,10.0,0.0,3.0,4.0,0.0,0.0,HighHomeShotsOnTarget,HighAwayShotsOnTarget,HighHomeShots,LowAwayShots,LowHomeFouls,MediumAwayFouls,-1,Loss
